id,name,category,cost,location,rating,open,close,license
1,Texas State Capitol,Landmark,$,Austin,4.7,7:00,22:00,"photograph by LoneStarMike, distributed under a CC BY 3.0 license."
2,The Alamo,Landmark,$,San Antonio,4.6,9:00,17:30,"photograph by David R. Tribble, distributed under a CC-BY-SA-3.0 license."
3,The Driskill,Landmark,$$$,Austin,4.5,0:00,23:59,"photograph by Kenneth C. Zirkel, distributed under a CC-BY-SA-3.0 license."
4,Mount Bonnell,Landmark,$,Austin,4.6,0:00,23:59,"photograph by Eighties~enwiki, distributed under a CC-BY-SA-3.0 license."
5,Sundance Square,Landmark,$$,Fort Worth,4.6,6:00,23:00,"photograph by Shiva Shenoy, distributed under a CC BY 2.0 license."
6,Fort Worth Stockyards,Landmark,$$,Fort Worth,4.7,10:00,17:00,"photograph by Briaande, distributed under a CC-BY-SA-4.0 license."
7,Reunion Tower,Landmark,$$,Dallas,4.5,10:30,21:00,"photograph by Batrak, distributed under a CC-BY-SA-2.0 license."
8,Kemah Boardwalk,Landmark,$$,Kemah,4.5,12:00,20:00,"photograph by Norm Lanier, distributed under a CC BY 2.0 license."
9,Galveston Island Historic Pleasure Pier,Landmark,$$,Galveston,4.4,11:00,23:00,"photograph by Matthew T. Rader, distributed under a CC-BY-SA-4.0 license."
10,San Antonio River Walk,Landmark,$$,San Antonio,4.7,0:00,23:59,"photograph by Trey Ratcliff, distributed under a CC-BY-SA-2.0 license."
11,San Antonio Missions National Historical Park,Landmark,$,San Antonio,4.7,9:00,17:00,"photograph by Ken Lund, distributed under a CC BY-SA 2.0 license."
12,San Fernando Cathedral,Landmark,$,San Antonio,4.8,9:00,17:00,"photograph by Nan Palmero, distributed under a CC BY 2.0 license."
13,Mission San Jose,Landmark,$,San Antonio,4.8,8:00,17:00,"photograph by Travis Witt, distributed under a CC-BY-SA-3.0 license."
14,LBJ Presidential Library,Museum,$,Austin,4.6,9:00,17:00,"photograph by Steve, distributed under a CC BY-SA 2.0 license."
15,Bullock Texas State History Museum,Museum,$,Austin,4.7,10:00,17:00,"photograph by Lea, distributed under a CC BY 2.0 license."
16,Dallas Museum of Art,Museum,$,Dallas,4.7,11:00,17:00,"photograph by KeithJonsn, distributed under a CC BY-SA 3.0 license."
17,Perot Museum of Nature and Science,Museum,$,Dallas,4.7,10:00,17:00,"photograph by Joe Mabel, distributed under a CC BY-SA 3.0 license."
18,Kimbell Art Museum,Museum,$,Fort Worth,4.8,10:00,17:00,"photograph by Keith Muncie, distributed under a CC BY-SA 2.0 license."
19,The Sixth Floor Museum at Dealey Plaza,Museum,$$,Dallas,4.6,10:00,17:00,"photograph by Michael Barera, distributed under a CC BY-SA 4.0 license."
20,Dallas Zoo,Museum,$,Dallas,4.5,9:00,16:00,"photograph by Kevin M., distributed under a CC-BY-SA-3.0 license."
21,"The Museum of Fine Arts, Houston",Museum,$,Houston,4.7,10:00,19:00,"photograph by MFAH, distributed under a CC BY 2.0 license."
22,Houston Zoo,Museum,$$,Houston,4.6,9:00,16:00,"photograph by gsloan, distributed under a CC BY 2.0 license."
23,Space Center Houston,Museum,$$,Houston,4.6,9:00,17:00,"photograph by Leijurv, distributed under a CC-BY-SA-4.0 license."
24,Houston Museum of Natural Science,Museum,$$,Houston,4.8,9:00,17:00,"photograph by Agsftw, distributed under a CC-BY-SA-3.0 license."
25,San Antonio Zoo,Museum,$,San Antonio,4.5,10:00,21:00,"photograph by Becker1999, distributed under a CC-BY-2.0 license."
26,Dallas World Aquarium,Museum,$$,Dallas,4.4,8:30,17:00,
27,Galleria Dallas,Shopping,$$$,Dallas,4.5,9:00,21:00,"photograph by Shistorybuff, distributed under a CC-BY-SA-4.0 license."
28,NorthPark Center,Shopping,$$$,Dallas,4.6,10:00,21:00,"photograph by Michael Barera, distributed under a CC-BY-SA-4.0 license."
29,Stonebriar Centre,Shopping,$$$,Frisco,4.5,10:00,21:00,"photograph by David R. Tribble, distributed under a CC-BY-SA-3.0 license."
30,The Galleria,Shopping,$$$,Houston,4.5,10:00,22:00,"photograph by Postoak, distributed under a CC-BY-SA-3.0 license."
31,Historic Market Square,Shopping,$$,Houston,4.6,10:00,17:00,"photograph by Wally Gobetz, distributed under a CC-BY-3.0 license."
32,Six Flags Fiesta Texas,Themepark,$$,San Antonio,4.4,10:00,21:00,"photograph by Bypassers, distributed under a CC-BY-SA-4.0 license."
33,Six Flags Over Texas,Themepark,$$,Arlington,4.4,12:00,22:00,"photograph by David R. Tribble, distributed under a CC-BY-SA-4.0 license."
